"image_id","status","n_brain_px","mean_brain","sd_brain","error_msg"
"image_00375","OK",6821,0.344213228466874,0.137287998099906,NA
"image_00376","OK",6898,0.349927230967771,0.136692381891634,NA
"image_00377","OK",6643,0.319958647315618,0.123864416996287,NA
"image_00378","OK",6424,0.303830763314043,0.115270280729757,NA
"image_00379","OK",6787,0.280178368680609,0.1219455941621,NA
"image_00380","OK",6380,0.231136517302846,0.0897882843428534,NA
"image_00381","OK",5891,0.378836943027084,0.118631424300267,NA
"image_00382","OK",6319,0.36797349419274,0.117135503823151,NA
"image_00383","OK",6685,0.336058339566193,0.109549363075915,NA
"image_00384","OK",6896,0.306493676356854,0.105819053881081,NA
"image_00385","OK",7223,0.339950674995182,0.115592980381354,NA
"image_00386","OK",7249,0.358789312386563,0.117566703931608,NA
"image_00387","OK",6898,0.322486057339723,0.124402629722222,NA
"image_00388","OK",6992,0.330581168394131,0.124092041959395,NA
"image_00389","OK",6673,0.318150698013358,0.128765815685893,NA
"image_00390","OK",6531,0.292669951153023,0.12603178722028,NA
"image_00391","OK",6449,0.304844648357094,0.0998700541559898,NA
"image_00392","OK",5708,0.402667566676285,0.128940232477233,NA
"image_00393","OK",7656,0.343570082160346,0.11577867517999,NA
"image_00394","OK",7205,0.371826618225361,0.122425014323686,NA
"image_00395","OK",8041,0.303178318958475,0.104509530606126,NA
"image_00396","OK",7994,0.280554288265219,0.105308332201259,NA
"image_00397","OK",8980,0.331597012969999,0.117320763092323,NA
"image_00398","OK",9172,0.346012159770144,0.120928797938051,NA
"image_00399","OK",8959,0.345551740062026,0.121232748890803,NA
"image_00400","OK",8621,0.347979625674652,0.12582341105043,NA
"image_00401","OK",6411,0.279959077688165,0.1241003344105,NA
"image_00402","OK",8364,0.372664828724412,0.128741384342792,NA
"image_00403","OK",7621,0.384611921136385,0.131960923755388,NA
"image_00404","OK",6992,0.425623401534527,0.149481705817895,NA
"image_00405","OK",6900,0.427464762716681,0.14273618048376,NA
"image_00406","OK",7161,0.39907122184162,0.13024993806513,NA
"image_00407","OK",7127,0.362308756812673,0.124150854983662,NA
"image_00408","OK",7472,0.383153577276735,0.133397698227506,NA
"image_00409","OK",5469,0.326333630910766,0.115782546400005,NA
"image_00410","OK",5571,0.321356217949395,0.114918427549238,NA
"image_00411","OK",6472,0.378322456918491,0.125233439984288,NA
"image_00412","OK",6079,0.303704814710882,0.130808612641694,NA
"image_00413","OK",6998,0.413522070731694,0.133889085355551,NA
"image_00414","OK",6913,0.3967361861568,0.130882084307114,NA
"image_00415","OK",7159,0.378209657937766,0.122894218148044,NA
"image_00416","OK",6084,0.32010577406505,0.114803617804432,NA
"image_00417","OK",6381,0.260864668700892,0.0950935464512009,NA
"image_00418","OK",6428,0.280691704186342,0.10038542956444,NA
"image_00419","OK",6333,0.271745416941449,0.101002653902449,NA
"image_00420","OK",6205,0.267213505869713,0.0942206026214785,NA
"image_00421","OK",6047,0.2774856759307,0.0961578848518953,NA
"image_00422","OK",5835,0.221189240049062,0.0889960543609445,NA
"image_00423","OK",5231,0.375924822232468,0.136576248080055,NA
"image_00424","OK",5709,0.214531578965445,0.0877350429709439,NA
"image_00425","OK",5506,0.24692723802198,0.0927903910637961,NA
"image_00426","OK",5663,0.314135097796844,0.114925473945831,NA
"image_00427","OK",6133,0.300498588478274,0.110479340442017,NA
"image_00428","OK",6210,0.294954216791386,0.105406441019548,NA
"image_00429","OK",6084,0.314337026723905,0.116027101333935,NA
"image_00430","OK",5932,0.323570729707932,0.11919096903996,NA
"image_00431","OK",5728,0.339491250410779,0.121608580430115,NA
"image_00432","OK",5387,0.316866312145798,0.108197665443107,NA
"image_00433","OK",4966,0.336330774758554,0.115198644041688,NA
"image_00434","OK",6183,0.343208766605462,0.121078524216063,NA
"image_00435","OK",5880,0.288078231292517,0.0921147928985412,NA
"image_00436","OK",5866,0.304533770548792,0.0942875575776704,NA
"image_00437","OK",5749,0.328272265594357,0.102104465124127,NA
"image_00438","OK",5673,0.323289714263989,0.0966312042693205,NA
"image_00439","OK",5505,0.353142953820947,0.103085248715625,NA
"image_00440","OK",5187,0.386616049928743,0.107607568920536,NA
"image_00441","OK",4795,0.328164141569036,0.0895244325833245,NA
"image_00442","OK",4305,0.424020177176562,0.118655384689325,NA
"image_00443","OK",6169,0.298224360257963,0.104253598957441,NA
"image_00444","OK",6592,0.314239779649724,0.0950297558964919,NA
