"image_id","split","class","mean_intensity","variance","skewness","kurtosis","energy","entropy","contrast","correlation","glcm_energy","homogeneity","dissimilarity","tumor_area","aspect_ratio","perimeter","extraction_error"
"image_00034","train","glioma_tumor",-1.15913910101982e-16,0.999999999999982,1.67761616738167,3.46932433871559,7102.99999999987,4.98765762832127,15.6954166394961,0.637149648547811,0.0156847307274257,0.45759970962642,2.31468886468199,7104,1.2247191011236,1390,NA
"image_00035","train","glioma_tumor",-1.18405259518777e-16,1.00000000000001,2.24175041501733,5.91880412008931,6390.00000000005,4.73015719978185,15.4521429614959,0.632925303378918,0.036444389041937,0.548260634721681,2.00840247916702,6391,1.25581395348837,1200,NA
"image_00036","train","glioma_tumor",5.12023067913349e-17,0.999999999999992,1.83233199465464,4.24793284173355,7380.99999999994,4.96472480057156,13.5956842801615,0.625014206114961,0.0192791618957176,0.473998547417316,2.15199415988012,7382,1.22222222222222,1342,NA
"image_00037","train","glioma_tumor",-4.85828071314892e-16,1,1.94301200470716,5.2268757417933,7234.00000000002,4.94088513815805,10.7592831820815,0.600100835726752,0.0267798637404088,0.524106429496268,1.83997083368746,7235,1.21739130434783,1526,NA
"image_00038","train","glioma_tumor",-1.75692265544106e-16,0.999999999999988,1.78217816032328,3.82318740766754,7356.99999999991,4.94041638934894,18.9863966532589,0.635986011995386,0.0146044172784507,0.428736806270421,2.59207194937954,7358,1.21739130434783,1508,NA
"image_00039","train","glioma_tumor",3.28817742321772e-16,1.00000000000001,1.7277614815034,3.52515380286676,7550.00000000007,4.9621561592542,20.3491550796358,0.599313738251648,0.0146872574521446,0.431051649760568,2.65409491921047,7551,1.20652173913043,1531,NA
"image_00040","train","glioma_tumor",-2.83908225140699e-16,1,1.654895686032,3.17845131384026,7418.00000000002,4.98212398078001,19.0046533681404,0.618485356850319,0.014916260777588,0.439241578661453,2.5424993318078,7419,1.21978021978022,1322,NA
"image_00041","train","glioma_tumor",-3.30356140142017e-16,1,1.61397967567686,2.84108094101935,7453,4.95604083407779,17.9237103364834,0.644764885726254,0.016981347679356,0.457430953641809,2.44777940085429,7454,1.23863636363636,1136,NA
"image_00042","train","glioma_tumor",-8.66849628072115e-16,0.999999999999995,1.67528528107381,2.8393680559245,7098.99999999997,4.88699154825182,17.4308975738111,0.671293520444823,0.018518252775407,0.460772761791273,2.41718533563969,7100,1.31325301204819,987,NA
"image_00043","train","glioma_tumor",-3.14034512679687e-16,1.00000000000001,1.59877529899061,3.1062287493592,7139.00000000006,5.01374445016166,14.4336915437992,0.686386115593984,0.0174828183304601,0.47574828187621,2.22598254830284,7140,1.30232558139535,1411,NA
"image_00044","train","glioma_tumor",2.94297691136774e-16,1.00000000000001,1.73725377706337,3.83893929357138,7393.00000000004,4.92812325246752,15.264271196053,0.659526465080878,0.0217863170142311,0.486952103445124,2.19813323476104,7394,1.28735632183908,1424,NA
"image_00045","train","glioma_tumor",5.60888201314601e-16,0.999999999999992,1.6165201916607,3.24148905126205,6667.99999999995,5.0177529410892,14.5551215762773,0.696162090372783,0.014251465609074,0.469890148822093,2.22786685257104,6669,1.40243902439024,1283,NA
"image_00046","train","glioma_tumor",-6.12071608874927e-16,0.999999999999993,2.37799802986832,6.25486136076271,5534.99999999996,4.65755549354957,14.9347035774898,0.642811000464278,0.033261810703362,0.536784199398064,1.96844410444254,5536,1.02247191011236,960,NA
"image_00047","train","glioma_tumor",4.44183044730296e-16,0.999999999999998,1.68798885218477,3.98256409380124,7097.99999999998,5.03018231422505,12.4466962843164,0.701152131245616,0.0154125865122065,0.476934869076599,2.07985596194577,7099,1.32183908045977,1276,NA
"image_00048","train","glioma_tumor",6.56295909122479e-16,0.999999999999991,1.84404932471587,3.71330880484991,5776.99999999995,4.84694751437351,14.7981886601663,0.712406257598261,0.0190950806563502,0.520052284678851,2.04848518648006,5778,1.31325301204819,1403,NA
"image_00049","train","glioma_tumor",-2.17376124400983e-16,0.999999999999998,1.58891714204559,2.38996840045459,7608.99999999999,4.88015441123097,14.2959893070564,0.734189432453849,0.0208265904523064,0.501323620428352,2.19651246269896,7610,1.05042016806723,1684,NA
"image_00050","train","glioma_tumor",5.97384026018096e-16,0.999999999999984,2.52483759620862,7.95755502539054,8770.99999999984,4.65496037684108,10.7034314476825,0.659669712973404,0.0499184999185549,0.597245057832418,1.5936759651811,8772,1.12844036697248,1978,NA
"image_00051","train","glioma_tumor",1.94376115382602e-16,1.00000000000002,2.38859750035278,6.88687364575506,8923.00000000015,4.65803271399266,13.0908772057319,0.649980136118642,0.041808254418122,0.575346731394047,1.8214547148004,8924,1.15094339622642,1912,NA
"image_00052","train","glioma_tumor",1.85814263191997e-16,1.00000000000001,2.54354705421629,8.01066490859017,8714.00000000011,4.65978091602258,11.2113228814759,0.642087937666159,0.0453565401716975,0.58812488542006,1.6705809382468,8715,1.16346153846154,1909,NA
"image_00053","train","glioma_tumor",6.15468671665179e-16,1.00000000000002,1.76173131584724,4.69436221807973,8659.00000000017,5.04140279726514,9.60371238605915,0.731040077208403,0.0197028775677089,0.526618245515335,1.7790951320254,8660,1.03703703703704,753,NA
"image_00054","train","glioma_tumor",-3.08058756660332e-16,1.00000000000001,1.98116300630398,5.21917291377664,9273.0000000001,4.93270872387598,10.8063159793613,0.693591603475028,0.0241036695748066,0.551397290888625,1.78272222623724,9274,1.01785714285714,1081,NA
"image_00055","train","glioma_tumor",5.47246441991804e-16,1.00000000000002,2.27830266915999,6.83076971813709,9806.00000000016,4.86990265296302,11.9121477543605,0.65428691945527,0.0276615928400338,0.567229491507451,1.77680710081053,9807,1,1113,NA
"image_00056","train","glioma_tumor",-3.98219437636358e-16,0.99999999999997,2.48683247519877,7.76162103273313,9285.99999999973,3.76113184309574,8.3924855348023,0.640354450193986,0.0483289997026189,0.626307331879735,1.42058869700794,9287,1.00854700854701,1656,NA
"image_00057","train","glioma_tumor",-5.03672997882012e-17,1.00000000000001,2.57219059317776,6.96106754796309,5492.00000000003,4.5052108831502,18.5342405157501,0.613926547075289,0.0360218798580042,0.557962384033928,2.03253534255612,5493,1.04545454545455,1038,NA
"image_00058","train","glioma_tumor",-2.41485786496964e-16,1,2.74632807881588,9.64520381090786,9493.00000000001,4.68392960248978,12.5572105910882,0.622178609086856,0.0351543008803168,0.56762440320304,1.75152590710532,9494,1.00847457627119,1890,NA
